x,y
-4.0,-2.46192
-3.995,-2.3608925624728108
-3.99,-2.318552177203343
-3.9850000000000003,-2.2859218189826285
-3.9800000000000004,-2.2583398605786784
-3.9750000000000005,-2.233998245817113
-3.9700000000000006,-2.211968517377138
-3.9650000000000007,-2.191698447411136
-3.960000000000001,-2.172827792000003
-3.955000000000001,-2.1551060252507255
-3.950000000000001,-2.138350525080084
-3.945000000000001,-2.1224232654214776
-3.9400000000000013,-2.1072168898153643
-3.9350000000000014,-2.092645925723897
-3.9300000000000015,-2.078640994010222
-3.9250000000000016,-2.0651448524107376
-3.9200000000000017,-2.0521096091546958
-3.915000000000002,-2.039494709502621
-3.910000000000002,-2.027265448167447
-3.905000000000002,-2.0153918488218894
-3.900000000000002,-2.003847805645938
-3.8950000000000022,-1.9926104156561864
-3.8900000000000023,-1.9816594523928852
-3.8850000000000025,-1.9709769459997908
-3.8800000000000026,-1.9605468445184888
-3.8750000000000027,-1.9503547379740784
-3.8700000000000028,-1.9403876315751636
-3.865000000000003,-1.9306337577396737
-3.860000000000003,-1.9210824191130829
-3.855000000000003,-1.9117238565483778
-3.850000000000003,-1.902549137357369
-3.8450000000000033,-1.8935500601507294
-3.8400000000000034,-1.8847190733499846
-3.8350000000000035,-1.8760492050423763
-3.8300000000000036,-1.8675340023046325
-3.8250000000000037,-1.8591674784771404
-3.820000000000004,-1.8509440671498392
-3.815000000000004,-1.8428585818431058
-3.810000000000004,-1.8349061805441766
-3.805000000000004,-1.8270823344021587
-3.8000000000000043,-1.8193828000000067
-3.7950000000000044,-1.8118035947156481
-3.7900000000000045,-1.8043409747612333
-3.7850000000000046,-1.7969914155526339
-3.7800000000000047,-1.7897515941135262
-3.775000000000005,-1.78261837326178
-3.770000000000005,-1.7755887873620362
-3.765000000000005,-1.7686600294587067
-3.760000000000005,-1.76182943962913
-3.7550000000000052,-1.7550944944181754
-3.7500000000000053,-1.7484527972338597
-3.7450000000000054,-1.741902069599101
-3.7400000000000055,-1.7354401431679976
